coding	meaning
1217	GRIK2;Glutamate receptor ionotropic, kainate 2
1218	GRIN2B;Glutamate receptor ionotropic, NMDA 2B
1219	GRK5;G protein-coupled receptor kinase 5
1220	GRN;Progranulin
1221	GRP;Gastrin-releasing peptide
1222	GRPEL1;GrpE protein homolog 1, mitochondrial
1223	GRSF1;G-rich sequence factor 1
1224	GSAP;Gamma-secretase-activating protein
1225	GSN;Gelsolin
1226	GSR;Glutathione reductase, mitochondrial
1227	GSTA1;Glutathione S-transferase A1
1228	GSTA3;Glutathione S-transferase A3
1229	GSTM4;Glutathione S-transferase Mu 4
1230	GSTP1;Glutathione S-transferase P
1231	GSTT2B;Glutathione S-transferase theta-2B
1232	GTF2IRD1;General transcription factor II-I repeat domain-containing protein 1
1233	GTPBP2;GTP-binding protein 2
1234	GUCA2A;Guanylin
1235	GUCY2C;Heat-stable enterotoxin receptor
1236	GUK1;Guanylate kinase
1237	GUSB;Beta-glucuronidase
1238	GYS1;Glycogen [starch] synthase, muscle
1239	GZMA;Granzyme A
1240	GZMB;Granzyme B
1241	GZMH;Granzyme H
1242	H2AP;Huntingtin-interacting protein M
1243	HADH;Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial
1244	HAGH;Hydroxyacylglutathione hydrolase, mitochondrial
1245	HAO1;Hydroxyacid oxidase 1
1246	HARS1;Histidine--tRNA ligase, cytoplasmic
1247	HAVCR1;Hepatitis A virus cellular receptor 1
1248	HAVCR2;Hepatitis A virus cellular receptor 2
1249	HBEGF;Proheparin-binding EGF-like growth factor
1250	HBQ1;Hemoglobin subunit theta-1
1251	HBZ;Hemoglobin subunit zeta
1252	HCG22;Protein PBMUCL2
1253	HCLS1;Hematopoietic lineage cell-specific protein
1254	HDAC8;Histone deacetylase 8
1255	HDAC9;Histone deacetylase 9
1256	HDDC2;5'-deoxynucleotidase HDDC2
1257	HDGF;Hepatoma-derived growth factor
1258	HDGFL2;Hepatoma-derived growth factor-related protein 2
1259	HEBP1;Heme-binding protein 1
1260	HEG1;Protein HEG homolog 1
1261	HEPACAM2;HEPACAM family member 2
1262	HEPH;Hephaestin
1263	HEXIM1;Protein HEXIM1
1264	HGF;Hepatocyte growth factor
1265	HGFAC;Hepatocyte growth factor activator
1266	HGS;Hepatocyte growth factor-regulated tyrosine kinase substrate
1267	HHEX;Hematopoietically-expressed homeobox protein HHEX
1268	HIF1A;Hypoxia-inducible factor 1-alpha
1269	HIP1;Huntingtin-interacting protein 1
1270	HIP1R;Huntingtin-interacting protein 1-related protein
1271	HJV;Hemojuvelin
1272	HK2;Hexokinase-2
1273	HLA-A;HLA class I histocompatibility antigen, A alpha chain
1274	HLA-DRA;HLA class II histocompatibility antigen, DR alpha chain
1275	HLA-E;HLA class I histocompatibility antigen, alpha chain E
1276	HMBS;Porphobilinogen deaminase
1277	HMCN2;Hemicentin-2
1278	HMGCL;Hydroxymethylglutaryl-CoA lyase, mitochondrial
1279	HMGCS1;Hydroxymethylglutaryl-CoA synthase, cytoplasmic
1280	HMMR;Hyaluronan mediated motility receptor
1281	HMOX1;Heme oxygenase 1
1282	HMOX2;Heme oxygenase 2
1283	HNF1A;Hepatocyte nuclear factor 1-alpha
1284	HNMT;Histamine N-methyltransferase
1285	HNRNPK;Heterogeneous nuclear ribonucleoprotein K
1286	HNRNPUL1;Heterogeneous nuclear ribonucleoprotein U-like protein 1
1287	HPCAL1;Hippocalcin-like protein 1
1288	HPGDS;Hematopoietic prostaglandin D synthase
1289	HPSE;Heparanase
1290	HRAS;GTPase Hras
1291	HRC;Sarcoplasmic reticulum histidine-rich calcium-binding protein
1292	HRG;Histidine-rich glycoprotein
1293	HS1BP3;HCLS1-binding protein 3
1294	HS3ST3B1;Heparan sulfate glucosamine 3-O-sulfotransferase 3B1
1295	HS6ST1;Heparan-sulfate 6-O-sulfotransferase 1
1296	HS6ST2;Heparan-sulfate 6-O-sulfotransferase 2
1297	HSBP1;Heat shock factor-binding protein 1
1298	HSD11B1;Corticosteroid 11-beta-dehydrogenase isozyme 1
1299	HSD17B14;17-beta-hydroxysteroid dehydrogenase 14
1300	HSD17B3;Testosterone 17-beta-dehydrogenase 3
1301	HSDL2;Hydroxysteroid dehydrogenase-like protein 2
1302	HSP90B1;Endoplasmin
1303	HSPA1A;Heat shock 70 kDa protein 1A
1304	HSPA2;Heat shock-related 70 kDa protein 2
1305	HSPB1;Heat shock protein beta-1
1306	HSPB6;Heat shock protein beta-6
1307	HSPG2;Basement membrane-specific heparan sulfate proteoglycan core protein
1308	HTR1A;5-hydroxytryptamine receptor 1A
1309	HTR1B;5-hydroxytryptamine receptor 1B
1310	HTRA2;Serine protease HTRA2, mitochondrial
1311	HYAL1;Hyaluronidase-1
1312	HYOU1;Hypoxia up-regulated protein 1
1313	ICA1;Islet cell autoantigen 1
1314	ICAM1;Intercellular adhesion molecule 1
1315	ICAM2;Intercellular adhesion molecule 2
1316	ICAM3;Intercellular adhesion molecule 3
1317	ICAM4;Intercellular adhesion molecule 4
1318	ICAM5;Intercellular adhesion molecule 5
1319	ICOSLG;ICOS ligand
1320	ID4;DNA-binding protein inhibitor ID-4
1321	IDI2;Isopentenyl-diphosphate delta-isomerase 2
1322	IDO1;Indoleamine 2,3-dioxygenase 1
1323	IDS;Iduronate 2-sulfatase
1324	IDUA;Alpha-L-iduronidase
1325	IFI30;Gamma-interferon-inducible lysosomal thiol reductase
1326	IFIT1;Interferon-induced protein with tetratricopeptide repeats 1
1327	IFIT3;Interferon-induced protein with tetratricopeptide repeats 3
1328	IFNAR1;Interferon alpha/beta receptor 1
1329	IFNG;Interferon gamma
1330	IFNGR1;Interferon gamma receptor 1
1331	IFNGR2;Interferon gamma receptor 2
1332	IFNL1;Interferon lambda-1
1333	IFNL2;Interferon lambda-2
1334	IFNLR1;Interferon lambda receptor 1
1335	IFNW1;Interferon omega-1
1336	IFT20;Intraflagellar transport protein 20 homolog
1337	IGBP1;Immunoglobulin-binding protein 1
1338	IGDCC3;Immunoglobulin superfamily DCC subclass member 3
1339	IGDCC4;Immunoglobulin superfamily DCC subclass member 4
1340	IGF1R;Insulin-like growth factor 1 receptor
1341	IGF2BP3;Insulin-like growth factor 2 mRNA-binding protein 3
1342	IGF2R;Cation-independent mannose-6-phosphate receptor
1343	IGFBP1;Insulin-like growth factor-binding protein 1
1344	IGFBP2;Insulin-like growth factor-binding protein 2
1345	IGFBP3;Insulin-like growth factor-binding protein 3
1346	IGFBP4;Insulin-like growth factor-binding protein 4
1347	IGFBP6;Insulin-like growth factor-binding protein 6
1348	IGFBP7;Insulin-like growth factor-binding protein 7
1349	IGFBPL1;Insulin-like growth factor-binding protein-like 1
1350	IGFL4;Insulin growth factor-like family member 4
1351	IGHMBP2;DNA-binding protein SMUBP-2
1352	IGLC2;Immunoglobulin lambda constant 2
1353	IGLON5;IgLON family member 5
1354	IGSF21;Immunoglobulin superfamily member 21
1355	IGSF3;Immunoglobulin superfamily member 3
1356	IGSF8;Immunoglobulin superfamily member 8
1357	IGSF9;Protein turtle homolog A
1358	IKBKG;NF-kappa-B essential modulator
1359	IKZF2;Zinc finger protein Helios
1360	IL10;Interleukin-10
1361	IL10RA;Interleukin-10 receptor subunit alpha
1362	IL10RB;Interleukin-10 receptor subunit beta
1363	IL11;Interleukin-11
1364	IL12A_IL12B;Interleukin-12
1365	IL12B;Interleukin-12 subunit beta
1366	IL12RB1;Interleukin-12 receptor subunit beta-1
1367	IL12RB2;Interleukin-12 receptor subunit beta-2
1368	IL13;Interleukin-13
1369	IL13RA1;Interleukin-13 receptor subunit alpha-1
1370	IL13RA2;Interleukin-13 receptor subunit alpha-2
1371	IL15;Interleukin-15
1372	IL15RA;Interleukin-15 receptor subunit alpha
1373	IL16;Pro-interleukin-16
1374	IL17A;Interleukin-17A
1375	IL17C;Interleukin-17C
1376	IL17D;Interleukin-17D
1377	IL17F;Interleukin-17F
1378	IL17RA;Interleukin-17 receptor A
1379	IL17RB;Interleukin-17 receptor B
1380	IL18;Interleukin-18
1381	IL18BP;Interleukin-18-binding protein
1382	IL18R1;Interleukin-18 receptor 1
1383	IL18RAP;Interleukin-18 receptor accessory protein
1384	IL19;Interleukin-19
1385	IL1A;Interleukin-1 alpha
1386	IL1B;Interleukin-1 beta
1387	IL1R1;Interleukin-1 receptor type 1
1388	IL1R2;Interleukin-1 receptor type 2
1389	IL1RAP;Interleukin-1 receptor accessory protein
1390	IL1RL1;Interleukin-1 receptor-like 1
1391	IL1RL2;Interleukin-1 receptor-like 2
1392	IL1RN;Interleukin-1 receptor antagonist protein
1393	IL2;Interleukin-2
1394	IL20;Interleukin-20
1395	IL20RA;Interleukin-20 receptor subunit alpha
1396	IL20RB;Interleukin-20 receptor subunit beta
1397	IL21R;Interleukin-21 receptor
1398	IL22;Interleukin-22
1399	IL22RA1;Interleukin-22 receptor subunit alpha-1
1400	IL24;Interleukin-24
1401	IL25;Interleukin-25
1402	IL2RA;Interleukin-2 receptor subunit alpha
1403	IL2RB;Interleukin-2 receptor subunit beta
1404	IL2RG;Cytokine receptor common subunit gamma
1405	IL3;Interleukin-3
1406	IL31;Interleukin-31
1407	IL31RA;Interleukin-31 receptor subunit alpha
1408	IL32;Interleukin-32
1409	IL33;Interleukin-33
1410	IL34;Interleukin-34
1411	IL36A;Interleukin-36 alpha
1412	IL36G;Interleukin-36 gamma
1413	IL3RA;Interleukin-3 receptor subunit alpha
1414	IL4;Interleukin-4
1415	IL4R;Interleukin-4 receptor subunit alpha
1416	IL5;Interleukin-5
1417	IL5RA;Interleukin-5 receptor subunit alpha
1418	IL6;Interleukin-6
1419	IL6R;Interleukin-6 receptor subunit alpha
1420	IL6ST;Interleukin-6 receptor subunit beta
1421	IL7;Interleukin-7
1422	IL7R;Interleukin-7 receptor subunit alpha
1423	IL9;Interleukin-9
1424	ILKAP;Integrin-linked kinase-associated serine/threonine phosphatase 2C
1425	IMMT;MICOS complex subunit MIC60
1426	IMPA1;Inositol monophosphatase 1
1427	IMPACT;Protein IMPACT
1428	IMPG1;Interphotoreceptor matrix proteoglycan 1
1429	ING1;Inhibitor of growth protein 1
1430	INHBB;Inhibin beta B chain
1431	INHBC;Inhibin beta C chain
1432	INPP1;Inositol polyphosphate 1-phosphatase
1433	INPP5D;Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1
1434	INPP5J;Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A
1435	INPPL1;Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2
1436	INSL3;Insulin-like 3
1437	INSL4;Early placenta insulin-like peptide
1438	INSL5;Insulin-like peptide INSL5
1439	INSR;Insulin receptor
1440	IPCEF1;Interactor protein for cytohesin exchange factors 1
1441	IQGAP2;Ras GTPase-activating-like protein IQGAP2
1442	IRAG2;Inositol 1,4,5-triphosphate receptor associated 2
1443	IRAK1;Interleukin-1 receptor-associated kinase 1
1444	IRAK4;Interleukin-1 receptor-associated kinase 4
1445	ISLR2;Immunoglobulin superfamily containing leucine-rich repeat protein 2
1446	ISM1;Isthmin-1
1447	ISM2;Isthmin-2
1448	IST1;IST1 homolog
1449	ITGA11;Integrin alpha-11
1450	ITGA2;Integrin alpha-2
1451	ITGA5;Integrin alpha-5
1452	ITGA6;Integrin alpha-6
1453	ITGAL;Integrin alpha-L
1454	ITGAM;Integrin alpha-M
1455	ITGAV;Integrin alpha-V
1456	ITGAX;Integrin alpha-X
1457	ITGB1;Integrin beta-1
1458	ITGB1BP1;Integrin beta-1-binding protein 1
1459	ITGB1BP2;Integrin beta-1-binding protein 2
1460	ITGB2;Integrin beta-2
1461	ITGB5;Integrin beta-5
1462	ITGB6;Integrin beta-6
1463	ITGB7;Integrin beta-7
1464	ITGBL1;Integrin beta-like protein 1
1465	ITIH1;Inter-alpha-trypsin inhibitor heavy chain H1
1466	ITIH3;Inter-alpha-trypsin inhibitor heavy chain H3
1467	ITIH4;Inter-alpha-trypsin inhibitor heavy chain H4
1468	ITIH5;Inter-alpha-trypsin inhibitor heavy chain H5
1469	ITM2A;Integral membrane protein 2A
1470	ITPA;Inosine triphosphate pyrophosphatase
1471	ITPR1;Inositol 1,4,5-trisphosphate receptor type 1
1472	ITPRIP;Inositol 1,4,5-trisphosphate receptor-interacting protein
1473	IVD;Isovaleryl-CoA dehydrogenase, mitochondrial
1474	IZUMO1;Izumo sperm-egg fusion protein 1
1475	JAM2;Junctional adhesion molecule B
1476	JAM3;Junctional adhesion molecule C
1477	JCHAIN;Immunoglobulin J chain
1478	JMJD1C;Probable JmjC domain-containing histone demethylation protein 2C
1479	JPT2;Jupiter microtubule associated homolog 2
1480	JUN;Transcription factor AP-1
1481	KAZALD1;Kazal-type serine protease inhibitor domain-containing protein 1
1482	KAZN;Kazrin
1483	KCNC4;Potassium voltage-gated channel subfamily C member 4
1484	KCNH2;Potassium voltage-gated channel subfamily H member 2
1485	KCNIP4;Kv channel-interacting protein 4
1486	KCTD5;BTB/POZ domain-containing protein KCTD5
1487	KDM3A;Lysine-specific demethylase 3A
1488	KDR;Vascular endothelial growth factor receptor 2
1489	KEL;Kell blood group glycoprotein
1490	KHDC3L;KH domain-containing protein 3
1491	KHK;Ketohexokinase
1492	KIAA0319;Dyslexia-associated protein KIAA0319
1493	KIAA1549;UPF0606 protein KIAA1549
1494	KIAA1549L;UPF0606 protein KIAA1549L
1495	KIAA2013;Uncharacterized protein KIAA2013
1496	KIF1C;Kinesin-like protein KIF1C
1497	KIF20B;Kinesin-like protein KIF20B
1498	KIF22;Kinesin-like protein KIF22
1499	KIFBP;KIF-binding protein
1500	KIR2DL2;Killer cell immunoglobulin-like receptor 2DL2
1501	KIR2DL3;Killer cell immunoglobulin-like receptor 2DL3
1502	KIR2DS4;Killer cell immunoglobulin-like receptor 2DS4
1503	KIR3DL1;Killer cell immunoglobulin-like receptor 3DL1
1504	KIR3DL2;Killer cell immunoglobulin-like receptor 3DL2
1505	KIRREL1;Kin of IRRE-like protein 1
1506	KIRREL2;Kin of IRRE-like protein 2
1507	KIT;Mast/stem cell growth factor receptor Kit
1508	KITLG;Kit ligand
1509	KLB;Beta-klotho
1510	KLF4;Krueppel-like factor 4
1511	KLHL41;Kelch-like protein 41
1512	KLK1;Kallikrein-1
1513	KLK10;Kallikrein-10
1514	KLK11;Kallikrein-11
1515	KLK12;Kallikrein-12
1516	KLK13;Kallikrein-13
1517	KLK14;Kallikrein-14
1518	KLK15;Kallikrein-15
1519	KLK3;Prostate-specific antigen
1520	KLK4;Kallikrein-4
1521	KLK6;Kallikrein-6
1522	KLK7;Kallikrein-7
1523	KLK8;Kallikrein-8
1524	KLKB1;Plasma kallikrein
1525	KLRB1;Killer cell lectin-like receptor subfamily B member 1
1526	KLRC1;NKG2-A/NKG2-B type II integral membrane protein
1527	KLRD1;Natural killer cells antigen CD94
1528	KLRF1;Killer cell lectin-like receptor subfamily F member 1
1529	KLRK1;NKG2-D type II integral membrane protein
1530	KRT14;Keratin, type I cytoskeletal 14
1531	KRT17;Keratin, type I cytoskeletal 17
1532	KRT18;Keratin, type I cytoskeletal 18
1533	KRT19;Keratin, type I cytoskeletal 19
1534	KRT5;Keratin, type II cytoskeletal 5
1535	KRT6C;Keratin, type II cytoskeletal 6C
1536	KRT8;Keratin, type II cytoskeletal 8
1537	KYAT1;Kynurenine--oxoglutarate transaminase 1
1538	KYNU;Kynureninase
1539	L1CAM;Neural cell adhesion molecule L1
1540	L3HYPDH;Trans-3-hydroxy-L-proline dehydratase
1541	LACRT;Extracellular glycoprotein lacritin
1542	LACTB2;Endoribonuclease LACTB2
1543	LAG3;Lymphocyte activation gene 3 protein
1544	LAIR1;Leukocyte-associated immunoglobulin-like receptor 1
1545	LAIR2;Leukocyte-associated immunoglobulin-like receptor 2
1546	LAMA1;Laminin subunit alpha-1
1547	LAMA4;Laminin subunit alpha-4
1548	LAMB1;Laminin subunit beta-1
1549	LAMP1;Lysosome-associated membrane glycoprotein 1
1550	LAMP2;Lysosome-associated membrane glycoprotein 2
1551	LAMP3;Lysosome-associated membrane glycoprotein 3
1552	LAMTOR5;Ragulator complex protein LAMTOR5
1553	LAP3;Cytosol aminopeptidase
1554	LARP1;La-related protein 1
1555	LAT;Linker for activation of T-cells family member 1
1556	LAT2;Linker for activation of T-cells family member 2
1557	LATS1;Serine/threonine-protein kinase LATS1
1558	LAYN;Layilin
1559	LBP;Lipopolysaccharide-binding protein
1560	LBR;Delta(14)-sterol reductase LBR
1561	LCAT;Phosphatidylcholine-sterol acyltransferase
1562	LCN15;Lipocalin-15
1563	LCN2;Neutrophil gelatinase-associated lipocalin
1564	LCP1;Plastin-2
1565	LDLR;Low-density lipoprotein receptor
1566	LDLRAP1;Low density lipoprotein receptor adapter protein 1
1567	LECT2;Leukocyte cell-derived chemotaxin-2
1568	LEFTY2;Left-right determination factor 2
1569	LEG1;Protein LEG1 homolog
1570	LELP1;Late cornified envelope-like proline-rich protein 1
1571	LEO1;RNA polymerase-associated protein LEO1
1572	LEP;Leptin
1573	LEPR;Leptin receptor
1574	LETM1;Mitochondrial proton/calcium exchanger protein
1575	LGALS1;Galectin-1
1576	LGALS3;Galectin-3
1577	LGALS3BP;Galectin-3-binding protein
1578	LGALS4;Galectin-4
1579	LGALS7_LGALS7B;Galectin-7
1580	LGALS8;Galectin-8
1581	LGALS9;Galectin-9
1582	LGMN;Legumain
1583	LHB;Lutropin subunit beta
1584	LHPP;Phospholysine phosphohistidine inorganic pyrophosphate phosphatase
1585	LIF;Leukemia inhibitory factor
1586	LIFR;Leukemia inhibitory factor receptor
1587	LILRA2;Leukocyte immunoglobulin-like receptor subfamily A member 2
1588	LILRA3;Leukocyte immunoglobulin-like receptor subfamily A member 3
1589	LILRA4;Leukocyte immunoglobulin-like receptor subfamily A member 4
1590	LILRA5;Leukocyte immunoglobulin-like receptor subfamily A member 5
1591	LILRA6;Leukocyte immunoglobulin-like receptor subfamily A member 6
1592	LILRB1;Leukocyte immunoglobulin-like receptor subfamily B member 1
1593	LILRB2;Leukocyte immunoglobulin-like receptor subfamily B member 2
1594	LILRB4;Leukocyte immunoglobulin-like receptor subfamily B member 4
1595	LILRB5;Leukocyte immunoglobulin-like receptor subfamily B member 5
1596	LIPF;Gastric triacylglycerol lipase
1597	LMNB1;Lamin-B1
1598	LMNB2;Lamin-B2
1599	LMOD1;Leiomodin-1
1600	LMOD2;Leiomodin-2
1601	LONP1;Lon protease homolog, mitochondrial
1602	LPA;Apolipoprotein(a)
1603	LPCAT2;Lysophosphatidylcholine acyltransferase 2
1604	LPL;Lipoprotein lipase
1605	LPO;Lactoperoxidase
1606	LPP;Lipoma-preferred partner
1607	LRCH4;Leucine-rich repeat and calponin homology domain-containing protein 4
1608	LRFN2;Leucine-rich repeat and fibronectin type-III domain-containing protein 2
1609	LRG1;Leucine-rich alpha-2-glycoprotein
1610	LRIG1;Leucine-rich repeats and immunoglobulin-like domains protein 1
1611	LRIG3;Leucine-rich repeats and immunoglobulin-like domains protein 3
1612	LRP1;Prolow-density lipoprotein receptor-related protein 1
1613	LRP11;Low-density lipoprotein receptor-related protein 11
1614	LRP2;Low-density lipoprotein receptor-related protein 2
1615	LRP2BP;LRP2-binding protein
1616	LRPAP1;Alpha-2-macroglobulin receptor-associated protein
1617	LRRC25;Leucine-rich repeat-containing protein 25
1618	LRRC37A2;Leucine-rich repeat-containing protein 37A2
1619	LRRC38;Leucine-rich repeat-containing protein 38
1620	LRRC59;Leucine-rich repeat-containing protein 59
1621	LRRFIP1;Leucine-rich repeat flightless-interacting protein 1
1622	LRRN1;Leucine-rich repeat neuronal protein 1
1623	LRTM1;Leucine-rich repeat and transmembrane domain-containing protein 1
1624	LRTM2;Leucine-rich repeat and transmembrane domain-containing protein 2
1625	LSM1;U6 snRNA-associated Sm-like protein LSm1
1626	LSM8;U6 snRNA-associated Sm-like protein LSm8
1627	LSP1;Lymphocyte-specific protein 1
1628	LTA;Lymphotoxin-alpha
1629	LTA4H;Leukotriene A-4 hydrolase
1630	LTB;Lymphotoxin-beta
1631	LTBP2;Latent-transforming growth factor beta-binding protein 2
1632	LTBP3;Latent-transforming growth factor beta-binding protein 3
1633	LTBR;Tumor necrosis factor receptor superfamily member 3
1634	LTO1;Protein LTO1 homolog
1635	LUZP2;Leucine zipper protein 2
1636	LXN;Latexin
1637	LY6D;Lymphocyte antigen 6D
1638	LY75;Lymphocyte antigen 75
1639	LY9;T-lymphocyte surface antigen Ly-9
1640	LY96;Lymphocyte antigen 96
1641	LYAR;Cell growth-regulating nucleolar protein
1642	LYN;Tyrosine-protein kinase Lyn
1643	LYPD1;Ly6/PLAUR domain-containing protein 1
1644	LYPD3;Ly6/PLAUR domain-containing protein 3
1645	LYPD8;Ly6/PLAUR domain-containing protein 8
1646	LYPLA2;Acyl-protein thioesterase 2
1647	LYSMD3;LysM and putative peptidoglycan-binding domain-containing protein 3
1648	LYVE1;Lymphatic vessel endothelial hyaluronic acid receptor 1
1649	LYZL2;Lysozyme-like protein 2
1650	LZTFL1;Leucine zipper transcription factor-like protein 1
1651	M6PR;Cation-dependent mannose-6-phosphate receptor
1652	MAD1L1;Mitotic spindle assembly checkpoint protein MAD1
1653	MAEA;E3 ubiquitin-protein transferase MAEA
1654	MAG;Myelin-associated glycoprotein
1655	MAGEA3;Melanoma-associated antigen 3
1656	MAGED1;Melanoma-associated antigen D1
1657	MAMDC2;MAM domain-containing protein 2
1658	MAMDC4;Apical endosomal glycoprotein
1659	MAN1A2;Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB
1660	MAN2B2;Epididymis-specific alpha-mannosidase
1661	MANEAL;Glycoprotein endo-alpha-1,2-mannosidase-like protein
1662	MANF;Mesencephalic astrocyte-derived neurotrophic factor
1663	MANSC1;MANSC domain-containing protein 1
1664	MANSC4;MANSC domain-containing protein 4
1665	MAP1LC3A;Microtubule-associated proteins 1A/1B light chain 3A
1666	MAP1LC3B2;Microtubule-associated proteins 1A/1B light chain 3 beta 2
1667	MAP2;Microtubule-associated protein 2
1668	MAP2K1;Dual specificity mitogen-activated protein kinase kinase 1
1669	MAP2K6;Dual specificity mitogen-activated protein kinase kinase 6
1670	MAP3K5;Mitogen-activated protein kinase kinase kinase 5
1671	MAP4K5;Mitogen-activated protein kinase kinase kinase kinase 5
1672	MAPK13;Mitogen-activated protein kinase 13
1673	MAPK9;Mitogen-activated protein kinase 9
1674	MAPKAPK2;MAP kinase-activated protein kinase 2
1675	MAPRE3;Microtubule-associated protein RP/EB family member 3
1676	MAPT;Microtubule-associated protein tau
1677	MARCO;Macrophage receptor MARCO
1678	MARS1;Methionine--tRNA ligase, cytoplasmic
1679	MASP1;Mannan-binding lectin serine protease 1
1680	MATN2;Matrilin-2
1681	MATN3;Matrilin-3
1682	MAVS;Mitochondrial antiviral-signaling protein
1683	MAX;Protein max
1684	MB;Myoglobin
1685	MBL2;Mannose-binding protein C
1686	MCAM;Cell surface glycoprotein MUC18
1687	MCEE;Methylmalonyl-CoA epimerase, mitochondrial
1688	MCEMP1;Mast cell-expressed membrane protein 1
1689	MCFD2;Multiple coagulation factor deficiency protein 2
1690	MCTS1;Malignant T-cell-amplified sequence 1
1691	MDGA1;MAM domain-containing glycosylphosphatidylinositol anchor protein 1
1692	MDH1;Malate dehydrogenase, cytoplasmic
1693	MDK;Midkine
1694	MDM1;Nuclear protein MDM1
1695	MECR;Enoyl-[acyl-carrier-protein] reductase, mitochondrial
1696	MED18;Mediator of RNA polymerase II transcription subunit 18
1697	MED21;Mediator of RNA polymerase II transcription subunit 21
1698	MEGF10;Multiple epidermal growth factor-like domains protein 10
1699	MEGF11;Multiple epidermal growth factor-like domains protein 11
1700	MEGF9;Multiple epidermal growth factor-like domains protein 9
1701	MELTF;Melanotransferrin
1702	MENT;Protein MENT
1703	MEP1A;Meprin A subunit alpha
1704	MEP1B;Meprin A subunit beta
1705	MEPE;Matrix extracellular phosphoglycoprotein
1706	MERTK;Tyrosine-protein kinase Mer
1707	MESD;LRP chaperone MESD
1708	MET;Hepatocyte growth factor receptor
1709	METAP1;Methionine aminopeptidase 1
1710	METAP1D;Methionine aminopeptidase 1D, mitochondrial
1711	METAP2;Methionine aminopeptidase 2
1712	MFAP3;Microfibril-associated glycoprotein 3
1713	MFAP3L;Microfibrillar-associated protein 3-like
1714	MFAP4;Microfibril-associated glycoprotein 4
1715	MFAP5;Microfibrillar-associated protein 5
1716	MFGE8;Lactadherin
1717	MGLL;Monoglyceride lipase
1718	MGMT;Methylated-DNA--protein-cysteine methyltransferase
1719	MIA;Melanoma-derived growth regulatory protein
1720	MICALL2;MICAL-like protein 2
1721	MICB_MICA;MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B
1722	MIF;Macrophage migration inhibitory factor
1723	MILR1;Allergin-1
1724	MINDY1;Ubiquitin carboxyl-terminal hydrolase MINDY-1
1725	MINK1;Misshapen-like kinase 1
1726	MITD1;MIT domain-containing protein 1
1727	MKI67;Proliferation marker protein Ki-67
1728	MLLT1;Protein ENL
1729	MLN;Promotilin
1730	MME;Neprilysin
1731	MMP1;Interstitial collagenase
1732	MMP10;Stromelysin-2
1733	MMP12;Macrophage metalloelastase
1734	MMP13;Collagenase 3
1735	MMP15;Matrix metalloproteinase-15
1736	MMP3;Stromelysin-1
1737	MMP7;Matrilysin
1738	MMP8;Neutrophil collagenase
1739	MMP9;Matrix metalloproteinase-9
1740	MMUT;Methylmalonyl-CoA mutase, mitochondrial
1741	MN1;Transcriptional activator MN1
1742	MNAT1;CDK-activating kinase assembly factor MAT1
1743	MNDA;Myeloid cell nuclear differentiation antigen
1744	MOCS2;Molybdopterin synthase catalytic subunit
1745	MOG;Myelin-oligodendrocyte glycoprotein
1746	MORC3;MORC family CW-type zinc finger protein 3
1747	MORF4L1;Mortality factor 4-like protein 1
1748	MORF4L2;Mortality factor 4-like protein 2
1749	MORN4;MORN repeat-containing protein 4
1750	MPHOSPH8;M-phase phosphoprotein 8
1751	MPI;Mannose-6-phosphate isomerase
1752	MPIG6B;Megakaryocyte and platelet inhibitory receptor G6b
1753	MPO;Myeloperoxidase
1754	MPRIP;Myosin phosphatase Rho-interacting protein
1755	MRC1;Macrophage mannose receptor 1
1756	MRI1;Methylthioribose-1-phosphate isomerase
1757	MRPL24;39S ribosomal protein L24, mitochondrial
1758	MRPL28;39S ribosomal protein L28, mitochondrial
1759	MRPL46;39S ribosomal protein L46, mitochondrial
1760	MRPL52;39S ribosomal protein L52, mitochondrial
1761	MRPL58;Peptidyl-tRNA hydrolase ICT1, mitochondrial
1762	MRPS16;28S ribosomal protein S16, mitochondrial
1763	MSLN;Mesothelin
1764	MSLNL;Mesothelin-like protein
1765	MSMB;Beta-microseminoprotein
1766	MSR1;Macrophage scavenger receptor types I and II
1767	MSRA;Mitochondrial peptide methionine sulfoxide reductase
1768	MST1;Hepatocyte growth factor-like protein
1769	MSTN;Growth/differentiation factor 8
1770	MTDH;Protein LYRIC
1771	MTHFD2;Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial
1772	MTHFSD;Methenyltetrahydrofolate synthase domain-containing protein
1773	MTIF3;Translation initiation factor IF-3, mitochondrial
1774	MTPN;Myotrophin
1775	MTR;Methionine synthase
1776	MTSS1;Protein MTSS 1
1777	MTSS2;Protein MTSS 2
1778	MTUS1;Microtubule-associated tumor suppressor 1
1779	MUC13;Mucin-13
1780	MUC16;Mucin-16
1781	MUC2;Mucin-2
1782	MUCL3;Mucin-like protein 3
1783	MVK;Mevalonate kinase
1784	MXRA8;Matrix remodeling-associated protein 8
1785	MYBPC1;Myosin-binding protein C, slow-type
1786	MYBPC2;Myosin-binding protein C, fast-type
1787	MYCBP2;E3 ubiquitin-protein ligase MYCBP2
